shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Export,13.800492,100.552316,346,3460
Export,13.800412,100.552273,347,3470
Export,13.800333,100.552231,348,3480
Export,13.800253,100.552188,349,3490
Export,13.800173,100.552146,350,3500
Export,13.8001151,100.5521151,351,3510
Export,13.8016858,100.5529492,352,3520
Export,13.801606,100.552907,353,3530
Export,13.801526,100.552865,354,3540
Export,13.801446,100.552822,355,3550
Export,13.801366,100.55278,356,3560
Export,13.801286,100.552738,357,3570
Export,13.801207,100.552695,358,3580
Export,13.801127,100.552653,359,3590
Export,13.801047,100.552611,360,3600
Export,13.800967,100.552568,361,3610
Export,13.8008913,100.5525281,362,3620
Export,13.802113,100.5531866,363,3630
Export,13.802034,100.553143,364,3640
Export,13.801955,100.553099,365,3650
Export,13.801876,100.553055,366,3660
Export,13.801797,100.553011,367,3670
Export,13.801718,100.552967,368,3680
Export,13.8016858,100.5529492,369,3690
Export,13.802591,100.5534414,370,3700
Export,13.802511,100.553399,371,3710
Export,13.802431,100.553356,372,3720
Export,13.802352,100.553314,373,3730
Export,13.802272,100.553271,374,3740
Export,13.802192,100.553229,375,3750
Export,13.802113,100.5531866,376,3760
Export,13.8028176,100.5535594,377,3770
Export,13.802737,100.553518,378,3780
Export,13.802657,100.553476,379,3790
Export,13.802591,100.5534414,380,3800
Export,13.8033216,100.5538102,381,3810
Export,13.803241,100.55377,382,3820
Export,13.80316,100.55373,383,3830
Export,13.803079,100.553689,384,3840
Export,13.802998,100.553649,385,3850
Export,13.802917,100.553609,386,3860
Export,13.802836,100.553569,387,3870
Export,13.8028176,100.5535594,388,3880
Export,13.8041742,100.5542415,389,3890
Export,13.804094,100.554201,390,3900
Export,13.804013,100.55416,391,3910
Export,13.803932,100.554119,392,3920
Export,13.803852,100.554078,393,3930
Export,13.803771,100.554038,394,3940
Export,13.80369,100.553997,395,3950
Export,13.80361,100.553956,396,3960
Export,13.803529,100.553915,397,3970
Export,13.803449,100.553874,398,3980
Export,13.803368,100.553834,399,3990
Export,13.8033216,100.5538102,400,4000
Export,13.80581,100.5551857,401,4010
Export,13.805732,100.55514,402,4020
Export,13.805653,100.555095,403,4030
Export,13.805575,100.55505,404,4040
Export,13.805497,100.555005,405,4050
Export,13.805418,100.55496,406,4060
Export,13.80534,100.554914,407,4070
Export,13.805261,100.554869,408,4080
Export,13.805183,100.554824,409,4090
Export,13.805105,100.554779,410,4100
Export,13.805026,100.554733,411,4110
Export,13.804948,100.554688,412,4120
Export,13.80487,100.554643,413,4130
Export,13.804791,100.554598,414,4140
Export,13.804713,100.554552,415,4150
Export,13.804635,100.554507,416,4160
Export,13.804556,100.554462,417,4170
Export,13.804478,100.554417,418,4180
Export,13.804399,100.554372,419,4190
Export,13.804321,100.554326,420,4200
Export,13.804243,100.554281,421,4210
Export,13.8041742,100.5542415,422,4220
Export,13.8077062,100.5562156,423,4230
Export,13.807627,100.556172,424,4240
Export,13.807547,100.556129,425,4250
Export,13.807468,100.556086,426,4260
Export,13.807388,100.556043,427,4270
Export,13.807309,100.556,428,4280
Export,13.807229,100.555957,429,4290
Export,13.80715,100.555914,430,4300
Export,13.807071,100.55587,431,4310
Export,13.806991,100.555827,432,4320
Export,13.806912,100.555784,433,4330
Export,13.806832,100.555741,434,4340
Export,13.806753,100.555698,435,4350
Export,13.806673,100.555655,436,4360
Export,13.806594,100.555611,437,4370
Export,13.806514,100.555568,438,4380
Export,13.806435,100.555525,439,4390
Export,13.806355,100.555482,440,4400
Export,13.806276,100.555439,441,4410
Export,13.806197,100.555396,442,4420
Export,13.806117,100.555352,443,4430
Export,13.806038,100.555309,444,4440
Export,13.805958,100.555266,445,4450
Export,13.805879,100.555223,446,4460
Export,13.80581,100.5551857,447,4470
Export,13.808373,100.5565697,448,4480
Export,13.808293,100.556527,449,4490
Export,13.808213,100.556485,450,4500
Export,13.808133,100.556443,451,4510
Export,13.808054,100.5564,452,4520
Export,13.807974,100.556358,453,4530
Export,13.807894,100.556315,454,4540
Export,13.807814,100.556273,455,4550
Export,13.807734,100.556231,456,4560
Export,13.8077062,100.5562156,457,4570
Export,13.8089513,100.5568218,458,4580
Export,13.808869,100.556786,459,4590
Export,13.808786,100.55675,460,4600
Export,13.808703,100.556714,461,4610
Export,13.80862,100.556678,462,4620
Export,13.808538,100.556641,463,4630
Export,13.808455,100.556605,464,4640
Export,13.808373,100.5565697,465,4650
Export,13.8093576,100.5569506,466,4660
Export,13.809272,100.556923,467,4670
Export,13.809186,100.556896,468,4680
Export,13.8091,100.556869,469,4690
Export,13.809014,100.556842,470,4700
Export,13.8089513,100.5568218,471,4710
Export,13.8099515,100.5571544,472,4720
Export,13.809866,100.557125,473,4730
Export,13.809781,100.557096,474,4740
Export,13.809696,100.557067,475,4750
Export,13.809611,100.557037,476,4760
Export,13.809525,100.557008,477,4770
Export,13.80944,100.556979,478,4780
Export,13.8093576,100.5569506,479,4790
Export,13.8123165,100.5577552,480,4800
Export,13.812229,100.557733,481,4810
Export,13.812142,100.557711,482,4820
Export,13.812055,100.557689,483,4830
Export,13.811968,100.557667,484,4840
Export,13.81188,100.557644,485,4850
Export,13.811793,100.557622,486,4860
Export,13.811706,100.5576,487,4870
Export,13.811619,100.557578,488,4880
Export,13.811532,100.557556,489,4890
Export,13.811444,100.557534,490,4900
Export,13.811357,100.557511,491,4910
Export,13.81127,100.557489,492,4920
Export,13.811183,100.557467,493,4930
Export,13.811095,100.557445,494,4940
Export,13.811008,100.557423,495,4950
Export,13.810921,100.557401,496,4960
Export,13.810834,100.557379,497,4970
Export,13.810747,100.557356,498,4980
Export,13.810659,100.557334,499,4990
Export,13.810572,100.557312,500,5000
Export,13.810485,100.55729,501,5010
Export,13.810398,100.557268,502,5020
Export,13.810311,100.557246,503,5030
Export,13.810223,100.557223,504,5040
Export,13.810136,100.557201,505,5050
Export,13.810049,100.557179,506,5060
Export,13.809962,100.557157,507,5070
Export,13.8099515,100.5571544,508,5080
Export,13.8126811,100.5579054,509,5090
Export,13.812598,100.557871,510,5100
Export,13.812514,100.557837,511,5110
Export,13.812431,100.557802,512,5120
Export,13.812347,100.557768,513,5130
Export,13.8123165,100.5577552,514,5140
Export,13.813025,100.5580878,515,5150
Export,13.812945,100.558045,516,5160
Export,13.812865,100.558003,517,5170
Export,13.812785,100.557961,518,5180
Export,13.812706,100.557918,519,5190
Export,13.8126811,100.5579054,520,5200
Export,13.813275,100.5583668,521,5210
Export,13.813214,100.558299,522,5220
Export,13.813153,100.558231,523,5230
Export,13.813092,100.558163,524,5240
Export,13.813031,100.558095,525,5250
Export,13.813025,100.5580878,526,5260
Export,13.8135042,100.5586886,527,5270
Export,13.813451,100.558614,528,5280
Export,13.813398,100.558539,529,5290
Export,13.813345,100.558465,530,5300
Export,13.813292,100.55839,531,5310
Export,13.813275,100.5583668,532,5320
Export,13.8136292,100.5590427,533,5330
Export,13.813599,100.558956,534,5340
Export,13.813568,100.558869,535,5350
Export,13.813537,100.558782,536,5360
Export,13.813506,100.558695,537,5370
Export,13.8135042,100.5586886,538,5380
Export,13.8137126,100.5594826,539,5390
Export,13.813695,100.559392,540,5400
Export,13.813678,100.559301,541,5410
Export,13.813661,100.55921,542,5420
Export,13.813644,100.559119,543,5430
Export,13.8136292,100.5590427,544,5440
Export,13.8136709,100.5598366,545,5450
Export,13.813682,100.559745,546,5460
Export,13.813693,100.559653,547,5470
Export,13.813703,100.559561,548,5480
Export,13.8137126,100.5594826,549,5490
Export,13.8135478,100.5602433,550,5500
Export,13.813575,100.560155,551,5510
Export,13.813601,100.560067,552,5520
Export,13.813628,100.559978,553,5530
Export,13.813655,100.55989,554,5540
Export,13.8136709,100.5598366,555,5550
Export,13.8112538,100.564332,556,5560
Export,13.811299,100.564252,557,5570
Export,13.811344,100.564172,558,5580
Export,13.811389,100.564092,559,5590
Export,13.811434,100.564012,560,5600
Export,13.811479,100.563932,561,5610
Export,13.811523,100.563851,562,5620
Export,13.811568,100.563771,563,5630
Export,13.811613,100.563691,564,5640
Export,13.811658,100.563611,565,5650
Export,13.811703,100.563531,566,5660
Export,13.811748,100.563451,567,5670
Export,13.811793,100.563371,568,5680
Export,13.811838,100.563291,569,5690
Export,13.811883,100.563211,570,5700
Export,13.811928,100.563131,571,5710
Export,13.811973,100.56305,572,5720
Export,13.812018,100.56297,573,5730
Export,13.812063,100.56289,574,5740
Export,13.812108,100.56281,575,5750
Export,13.812153,100.56273,576,5760
Export,13.812198,100.56265,577,5770
Export,13.812242,100.56257,578,5780
Export,13.812287,100.56249,579,5790
Export,13.812332,100.56241,580,5800
Export,13.812377,100.56233,581,5810
Export,13.812422,100.562249,582,5820
Export,13.812467,100.562169,583,5830
Export,13.812512,100.562089,584,5840
Export,13.812557,100.562009,585,5850
Export,13.812602,100.561929,586,5860
Export,13.812647,100.561849,587,5870
Export,13.812692,100.561769,588,5880
Export,13.812737,100.561689,589,5890
Export,13.812782,100.561609,590,5900
Export,13.812827,100.561529,591,5910
Export,13.812872,100.561448,592,5920
Export,13.812917,100.561368,593,5930
Export,13.812962,100.561288,594,5940
Export,13.813006,100.561208,595,5950
Export,13.813051,100.561128,596,5960
Export,13.813096,100.561048,597,5970
Export,13.813141,100.560968,598,5980
Export,13.813186,100.560888,599,5990
Export,13.813231,100.560808,600,6000
Export,13.813276,100.560728,601,6010
Export,13.813321,100.560647,602,6020
Export,13.813366,100.560567,603,6030
Export,13.813411,100.560487,604,6040
Export,13.813456,100.560407,605,6050
Export,13.813501,100.560327,606,6060
Export,13.8135478,100.5602433,607,6070
Export,13.8067842,100.5724108,608,6080
Export,13.806829,100.57233,609,6090
Export,13.806873,100.57225,610,6100
Export,13.806918,100.57217,611,6110
Export,13.806962,100.572089,612,6120
Export,13.807007,100.572009,613,6130
Export,13.807051,100.571929,614,6140
Export,13.807095,100.571848,615,6150
Export,13.80714,100.571768,616,6160
Export,13.807184,100.571687,617,6170
Export,13.807229,100.571607,618,6180
Export,13.807273,100.571527,619,6190
Export,13.807318,100.571446,620,6200
Export,13.807362,100.571366,621,6210
Export,13.807407,100.571286,622,6220
Export,13.807451,100.571205,623,6230
Export,13.807496,100.571125,624,6240
Export,13.80754,100.571044,625,6250
Export,13.807585,100.570964,626,6260
Export,13.807629,100.570884,627,6270
Export,13.807674,100.570803,628,6280
Export,13.807718,100.570723,629,6290
Export,13.807762,100.570643,630,6300
Export,13.807807,100.570562,631,6310
Export,13.807851,100.570482,632,6320
Export,13.807896,100.570401,633,6330
Export,13.80794,100.570321,634,6340
Export,13.807985,100.570241,635,6350
