route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction
purple,00011,00616,PT4,18:19:30,PP16,18:52:48,21313,00:34:58,0
purple,00011,00716,PT4,18:25:30,PP16,18:58:48,21313,00:34:58,0
purple,00011,01616,PT4,18:31:30,PP16,19:04:48,21313,00:34:58,0
purple,00011,00816,PT4,18:37:30,PP16,19:10:48,21313,00:34:58,0
purple,00011,01016,PT4,18:43:30,PP16,19:16:48,21313,00:34:58,0
purple,00011,01116,PT4,18:49:30,PP16,19:22:48,21313,00:34:58,0
purple,00011,01316,PT4,18:55:30,PP16,19:28:48,21313,00:34:58,0
purple,00011,00116,PT4,19:01:30,PP16,19:34:48,21313,00:34:58,0
purple,00011,00316,PT4,19:07:30,PP16,19:40:48,21313,00:34:58,0
purple,00011,01416,PT4,19:13:30,PP16,19:46:48,21313,00:34:58,0
purple,00011,00416,PT4,19:19:24,PP16,19:54:42,21313,00:37:01,0
purple,00011,01516,PT4,19:29:51,PP16,20:01:09,21313,00:34:58,0
purple,00011,00716,PT4,19:37:21,PP16,20:10:39,21313,00:34:58,0
purple,00011,01616,PT4,19:46:21,PP16,20:19:39,21313,00:34:58,0
purple,00011,01016,PT4,19:56:00,PP16,20:29:18,21313,00:34:58,0
purple,00011,01116,PT4,20:05:24,PP16,20:40:42,21313,00:37:01,0
purple,00011,00116,PT4,20:14:54,PP16,20:50:12,21313,00:37:01,0
purple,00011,00316,PT4,20:24:30,PP16,20:59:48,21313,00:37:01,0
purple,00011,00416,PT4,20:34:00,PP16,21:09:18,21313,00:37:01,0
purple,00011,01516,PT4,20:43:30,PP16,21:18:48,21313,00:37:01,0
purple,00011,00716,PT4,20:53:00,PP16,21:28:18,21313,00:37:01,0
purple,00011,01616,PT4,21:02:30,PP16,21:37:48,21313,00:37:01,0
purple,00011,01016,PT4,21:12:00,PP16,21:47:18,21313,00:37:01,0
purple,00011,01116,PT4,21:21:30,PP16,21:56:48,21313,00:37:01,0
purple,00011,00116,PT4,21:31:00,PP16,22:06:18,21313,00:37:01,0
purple,00011,00316,PT4,21:40:30,PP16,22:15:48,21313,00:37:01,0
purple,00011,00416,PT4,21:50:00,PP16,22:25:18,21313,00:37:01,0
purple,00011,01516,PT4,21:59:30,PP16,22:34:48,21313,00:37:01,0
purple,00011,00716,PT4,22:09:00,PP16,22:44:18,21313,00:37:01,0
purple,00011,01616,PT4,22:18:30,PP16,22:53:48,21313,00:37:01,0
purple,00011,01016,PT4,22:28:00,PP16,23:03:18,21313,00:37:01,0
purple,00011,01116,PT4,22:37:00,PP16,23:12:48,21313,00:37:01,0
purple,00011,00116,PT4,22:47:00,PP16,23:22:18,21313,00:37:01,0
purple,00012,00118,PP16,06:00:00,PT4,06:32:33,21240,00:33:37,1
purple,00012,00218,PP16,06:04:34,PT4,06:39:01,21240,00:35:31,1
purple,00012,00318,PP16,06:11:24,PT4,06:45:01,21240,00:34:41,1
purple,00012,00418,PP16,06:17:24,PT4,06:51:01,21240,00:34:41,1
purple,00012,00518,PP16,06:23:09,PT4,06:57:01,21240,00:34:56,1
purple,00012,00618,PP16,06:29:24,PT4,07:03:01,21240,00:34:41,1
purple,00012,00718,PP16,06:35:24,PT4,07:09:01,21240,00:34:41,1
purple,00012,00818,PP16,06:41:24,PT4,07:15:01,21240,00:34:41,1
purple,00012,00918,PP16,06:47:24,PT4,07:21:01,21240,00:34:41,1
purple,00012,01018,PP16,06:53:24,PT4,07:27:01,21240,00:34:41,1
purple,00012,01118,PP16,06:59:24,PT4,07:33:01,21240,00:34:41,1
purple,00012,01218,PP16,07:05:24,PT4,07:39:01,21240,00:34:41,1
purple,00012,00118,PP16,07:11:24,PT4,07:45:01,21240,00:34:41,1
purple,00012,00218,PP16,07:17:24,PT4,07:51:01,21240,00:34:41,1
purple,00012,00318,PP16,07:23:24,PT4,07:5:01,21240,00:34:41,1
purple,00012,00418,PP16,07:29:24,PT4,08:03:01,21240,00:34:41,1
purple,00012,00518,PP16,07:35:24,PT4,08:09:01,21240,00:34:41,1
purple,00012,00618,PP16,07:41:24,PT4,08:15:01,21240,00:34:41,1
purple,00012,00718,PP16,07:47:24,PT4,08:23:09,21240,00:37:02,1
purple,00012,00818,PP16,07:53:24,PT4,08:29:09,21240,00:37:02,1
purple,00012,00901,PP16,07:59:24,PP01,08:32:31,20899,00:33:37,1
purple,00012,009#,PP01,08:33:31,DEP-PL,08:42:31,1348,00:09:00,1
purple,00012,01018,PP16,08:05:15,PT4,08:38:52,21240,00:34:41,1
purple,00012,01118,PP16,08:12:24,PT4,08:48:09,21240,00:37:02,1
purple,00012,01201,PP16,08:17:24,PP01,08:52:39,20899,00:35:45,1
purple,00012,012#,PP01,08:53:39,DEP-PL,09:02:39,1348,00:09:00,1
purple,00012,00118,PP16,08:24:15,PT4,08:57:52,21240,00:34:41,1
purple,00012,00201,PP16,08:29:24,PP01,09:04:39,20899,00:35:45,1
purple,00012,002#,PP01,09:05:39,DEP-PL,09:14:39,1348,00:09:00,1
purple,00012,00318,PP16,08:35:48,PT4,09:09:25,21240,00:34:41,1
purple,00012,00418,PP16,08:40:54,PT4,09:16:39,21240,00:37:02,1
purple,00012,00501,PP16,08:47:24,PP01,09:22:39,20899,00:35:45,1
purple,00012,005#,PP01,09:23:39,DEP-PL,09:32:39,1348,00:09:00,1
purple,00012,00618,PP16,08:54:48,PT4,09:28:25,21240,00:34:41,1
purple,00012,00718,PP16,09:02:15,PT4,09:35:52,21240,00:34:41,1
purple,00012,00818,PP16,09:09:24,PT4,09:45:09,21240,00:37:02,1
purple,00012,01018,PP16,09:18:54,PT4,09:54:39,21240,00:37:02,1
purple,00012,01118,PP16,09:28:24,PT4,10:04:09,21240,00:37:02,1
purple,00012,00118,PP16,09:37:54,PT4,10:13:39,21240,00:37:02,1
purple,00012,00318,PP16,09:47:24,PT4,10:23:09,21240,00:37:02,1
purple,00012,00418,PP16,09:56:54,PT4,10:32:39,21240,00:37:02,1
purple,00012,00618,PP16,10:06:24,PT4,10:42:09,21240,00:37:02,1
purple,00012,00718,PP16,10:15:54,PT4,10:51:39,21240,00:37:02,1
purple,00012,00818,PP16,10:25:24,PT4,11:01:09,21240,00:37:02,1
purple,00012,01018,PP16,10:34:54,PT4,11:10:39,21240,00:37:02,1
purple,00012,01118,PP16,10:44:24,PT4,11:20:09,21240,00:37:02,1
purple,00012,00118,PP16,10:53:54,PT4,11:29:39,21240,00:37:02,1
purple,00012,00318,PP16,11:03:24,PT4,11:39:09,21240,00:37:02,1
purple,00012,00418,PP16,11:12:54,PT4,11:48:39,21240,00:37:02,1
purple,00012,00618,PP16,11:22:24,PT4,11:58:09,21240,00:37:02,1
purple,00012,00718,PP16,11:31:54,PT4,12:07:39,21240,00:37:02,1
purple,00012,00818,PP16,11:41:24,PT4,12:17:09,21240,00:37:02,1
purple,00012,01018,PP16,11:50:54,PT4,12:26:39,21240,00:37:02,1
purple,00012,01118,PP16,12:00:24,PT4,12:36:09,21240,00:37:02,1
purple,00012,00118,PP16,12:09:54,PT4,12:45:39,21240,00:37:02,1
purple,00012,00318,PP16,12:19:24,PT4,12:55:09,21240,00:37:02,1
purple,00012,00418,PP16,12:28:54,PT4,13:04:39,21240,00:37:02,1
purple,00012,00618,PP16,12:38:24,PT4,13:14:09,21240,00:37:02,1
purple,00012,00718,PP16,12:47:54,PT4,13:23:39,21240,00:37:02,1
purple,00012,00818,PP16,12:57:24,PT4,13:33:09,21240,00:37:02,1
purple,00012,01018,PP16,13:06:54,PT4,13:42:39,21240,00:37:02,1
purple,00012,01118,PP16,13:16:24,PT4,13:52:09,21240,00:37:02,1
purple,00012,00118,PP16,13:25:54,PT4,14:01:39,21240,00:37:02,1
purple,00012,00318,PP16,13:35:24,PT4,14:11:09,21240,00:37:02,1
purple,00012,00418,PP16,13:44:54,PT4,14:20:39,21240,00:37:02,1
purple,00012,00618,PP16,13:54:24,PT4,14:30:09,21240,00:37:02,1
purple,00012,00718,PP16,14:03:54,PT4,14:39:39,21240,00:37:02,1
purple,00012,00818,PP16,14:13:24,PT4,14:49:09,21240,00:37:02,1
purple,00012,01018,PP16,14:22:54,PT4,14:58:39,21240,00:37:02,1
purple,00012,01118,PP16,14:32:24,PT4,15:08:09,21240,00:37:02,1
purple,00012,00118,PP16,14:41:54,PT4,15:17:39,21240,00:37:02,1
purple,00012,00318,PP16,14:51:24,PT4,15:27:09,21240,00:37:02,1
purple,00012,00418,PP16,15:00:54,PT4,15:36:39,21240,00:37:02,1
purple,00012,00618,PP16,15:10:24,PT4,15:46:09,21240,00:37:02,1
purple,00012,00718,PP16,15:19:54,PT4,15:55:39,21240,00:37:02,1
purple,00012,00818,PP16,15:29:24,PT4,16:05:09,21240,00:37:02,1
purple,00012,01018,PP16,15:38:54,PT4,16:14:39,21240,00:37:02,1
purple,00012,01118,PP16,15:48:54,PT4,16:22:31,21240,00:34:41,1
purple,00012,00118,PP16,15:58:33,PT4,16:34:18,21240,00:37:02,1
purple,00012,00318,PP16,16:07:24,PT4,16:41:01,21240,00:34:41,1
purple,00012,00418,PP16,16:16:54,PT4,16:52:39,21240,00:37:02,1
purple,00012,00618,PP16,16:26:30,PT4,17:02:15,21240,00:37:02,1
purple,00012,00718,PP16,16:36:54,PT4,17:10:31,21240,00:34:41,1
purple,00012,00818,PP16,16:46:33,PT4,17:22:18,21240,00:37:02,1
purple,00012,01018,PP16,16:54:54,PT4,17:28:31,21240,00:34:41,1
purple,00012,01118,PP16,17:00:54,PT4,17:34:31,21240,00:34:41,1
purple,00012,01318,PP16,17:06:54,PT4,17:40:31,21240,00:34:41,1
purple,00012,00118,PP16,17:12:54,PT4,17:46:31,21240,00:34:41,1
purple,00012,00318,PP16,17:18:54,PT4,17:52:31,21240,00:34:41,1
purple,00012,01418,PP16,17:24:54,PT4,17:58:31,21240,00:34:41,1
purple,00012,00418,PP16,17:30:54,PT4,18:04:31,21240,00:34:41,1
purple,00012,01518,PP16,17:36:54,PT4,18:10:31,21240,00:34:41,1
purple,00012,00618,PP16,17:42:54,PT4,18:16:31,21240,00:34:41,1
purple,00012,00718,PP16,17:48:54,PT4,18:22:31,21240,00:34:41,1
purple,00012,01618,PP16,17:54:54,PT4,18:28:31,21240,00:34:41,1
purple,00012,00818,PP16,18:00:54,PT4,18:34:31,21240,00:34:41,1
purple,00012,01018,PP16,18:06:54,PT4,18:40:31,21240,00:34:41,1
purple,00012,01118,PP16,18:12:54,PT4,18:46:31,21240,00:34:41,1
purple,00012,01318,PP16,18:18:54,PT4,18:52:31,21240,00:34:41,1
