shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_06,13.720883,100.457732,64
shp_07,13.73828,100.641675,0
shp_07,13.743742,100.591595,1
shp_07,13.758872,100.525278,2
shp_07,13.760732,100.523153,3
shp_07,13.764457,100.523442,4
shp_07,13.777485,100.528903,5
shp_07,13.7907,100.534192,6
shp_07,13.817432,100.544879,7
shp_07,13.818294,100.544802,8
shp_07,13.81901,100.544659,9
shp_07,13.819922,100.543924,10
shp_07,13.820606,100.543184,11
shp_07,13.821083,100.54225,12
shp_07,13.821453,100.541092,13
shp_07,13.822552,100.529789,14
shp_07,13.822604,100.528995,15
shp_07,13.822563,100.528191,16
shp_07,13.822461,100.527314,17
shp_07,13.822245,100.526533,18
shp_07,13.822018,100.525731,19
shp_07,13.821698,100.524972,20
shp_07,13.82137,100.524296,21
shp_07,13.820917,100.523567,22
shp_07,13.819752,100.522145,23
shp_07,13.814921,100.516754,24
shp_07,13.811941,100.51349,25
shp_07,13.808904,100.5103,26
shp_07,13.804953,100.505934,27
shp_07,13.80209,100.50278,28
shp_07,13.801429,100.501774,29
shp_07,13.800664,100.500683,30
shp_07,13.799843,100.498286,31
shp_07,13.79026,100.471649,32
shp_07,13.785087,100.450308,33
shp_07,13.785008,100.448315,34
shp_07,13.785282,100.446236,35
shp_07,13.786957,100.442743,36
shp_07,13.798093,100.428962,37
shp_07,13.798976,100.425737,38
shp_07,13.802502,100.324413,39
shp_08,13.792249,100.477245,0
shp_08,13.789488,100.480013,1
shp_08,13.785612,100.491793,2
shp_08,13.784341,100.495152,3
shp_08,13.773462,100.519126,4
shp_08,13.764209,100.539867,5
shp_08,13.756268,100.549208,6
shp_08,13.752954,100.563612,7
shp_09,13.737827,100.516333,0
shp_09,13.741292,100.515547,1
shp_09,13.745592,100.516198,2
shp_09,13.749016,100.516678,3
shp_09,13.757292,100.520659,4
shp_09,13.764425,100.523516,5
shp_09,13.802728,100.53961,6
shp_09,13.818703,100.546489,7
shp_09,13.821685,100.54731,8
shp_09,13.824646,100.548624,9
shp_09,13.830048,100.55151,10
shp_09,13.843122,100.558494,11
shp_09,13.8658,100.570776,12
shp_09,13.87615,100.576446,13
shp_09,13.881324,100.579357,14
shp_09,13.886603,100.582374,15
shp_09,13.931248,100.607422,16
shp_09,13.932581,100.60797,17
shp_09,13.934205,100.60841,18
shp_09,13.935808,100.608635,19
shp_09,13.938036,100.608646,20
shp_09,13.9769,100.603789,21
shp_09,14.027439,100.597553,22
shp_09,14.074648,100.589254,23
shp_10,13.645439,100.595493,0
shp_10,13.643714,100.60045,1
shp_10,13.642671,100.602037,2
shp_10,13.641316,100.603909,3
shp_10,13.639721,100.605766,4
shp_10,13.63774,100.608115,5
shp_10,13.627678,100.626934,6
shp_10,13.652552,100.641588,7
shp_10,13.66339,100.643905,8
shp_10,13.674352,100.645794,9
shp_10,13.696336,100.647606,10
shp_10,13.712732,100.643702,11
shp_10,13.72004,100.6422,12
shp_10,13.735598,100.641015,13
shp_10,13.746026,100.643614,14
shp_10,13.755037,100.645956,15
shp_10,13.755655,100.645972,16
shp_10,13.756299,100.645923,17
shp_10,13.757687,100.645809,18
shp_10,13.760811,100.645533,19
shp_10,13.763524,100.645625,20
shp_10,13.766022,100.645346,21
shp_10,13.805273,100.574995,22
shp_11,13.86031,100.513283,0
shp_11,13.859226,100.521051,1
shp_11,13.859258,100.521413,2
shp_11,13.859508,100.521592,3
shp_11,13.86008,100.521587,4
shp_11,13.872372,100.516963,5
shp_11,13.884271,100.512446,6
shp_11,13.905104,100.504644,7
shp_11,13.905868,100.504312,8
shp_11,13.906229,100.504198,9
shp_11,13.906648,100.504121,10
shp_11,13.907174,100.504161,11
shp_11,13.907504,100.504266,12
shp_11,13.906352,100.516644,13
shp_11,13.906273,100.51758,14
shp_11,13.905658,100.524645,15
shp_11,13.905471,100.52546,16
shp_11,13.900701,100.538978,17
shp_11,13.888249,100.574465,18
shp_11,13.88427,100.581594,19
shp_11,13.876125,100.595996,20
shp_11,13.873468,100.597816,21
shp_11,13.839973,100.660083,22
shp_11,13.839078,100.661718,23
shp_11,13.838516,100.662696,24
shp_11,13.837913,100.663395,25
shp_11,13.814558,100.687735,26
shp_11,13.813915,100.68842,27
shp_11,13.813265,100.68924,28
shp_11,13.812823,100.69049,29
shp_11,13.812751,100.691508,30
shp_11,13.812775,100.699135,31
shp_11,13.812737,100.709015,32
shp_11,13.812733,100.71403,33
shp_11,13.812673,100.71719,34
shp_11,13.812474,100.729316,35
shp_11,13.812368,100.736743,36
shp_12,13.812368,100.736743,0
shp_12,13.810243,100.732757,1
shp_12,13.807326,100.727538,2
shp_12,13.804825,100.725435,3
shp_12,13.804345,100.725042,4
shp_12,13.804031,100.724498,5
shp_12,13.793734,100.703972,6
shp_12,13.782038,100.68265,7
shp_12,13.777786,100.67501,8
shp_12,13.773168,100.666465,9
shp_12,13.765763,100.654739,10
shp_12,13.763292,100.649657,11
shp_12,13.762937,100.647984,12
shp_12,13.76275,100.646095,13
shp_12,13.762395,100.642641,14
shp_12,13.759707,100.619423,15
shp_12,13.75952,100.618372,16
shp_12,13.75904,100.617299,17
shp_12,13.758415,100.616548,18
shp_12,13.74741,100.60553,19
shp_12,13.751527,100.593374,20
shp_12,13.753934,100.58507,21
shp_12,13.754643,100.582238,22
shp_12,13.768401,100.571873,23
shp_12,13.773094,100.552943,24
shp_12,13.764159,100.548217,25
shp_12,13.762615,100.542455,26
shp_12,13.755998,100.542406,27
shp_12,13.754885,100.542184,28
shp_12,13.753387,100.541854,29
shp_12,13.750891,100.54121,30
shp_12,13.749932,100.541049,31
shp_12,13.757292,100.520659,32
shp_12,13.756858,100.518627,33
shp_12,13.756633,100.516423,34
shp_12,13.756558,100.514806,35
