route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction,speed,calendar
purple,00012,00801,PP16,11:35:49,PP01,12:11:04,21240,,1,1,WD
purple,00012,00901,PP16,11:45:19,PP01,12:20:34,21240,,1,1,WD
purple,00012,01001,PP16,11:54:49,PP01,12:30:04,21240,,1,1,WD
purple,00012,01201,PP16,12:04:19,PP01,12:39:34,21240,,1,1,WD
purple,00012,00101,PP16,12:13:49,PP01,12:49:04,21240,,1,1,WD
purple,00012,00301,PP16,12:23:19,PP01,12:58:34,21240,,1,1,WD
purple,00012,00501,PP16,12:32:49,PP01,13:08:04,21240,,1,1,WD
purple,00012,00601,PP16,12:42:19,PP01,13:17:34,21240,,1,1,WD
purple,00012,00801,PP16,12:51:49,PP01,13:27:04,21240,,1,1,WD
purple,00012,00901,PP16,13:01:19,PP01,13:36:34,21240,,1,1,WD
purple,00012,01001,PP16,13:10:49,PP01,13:46:04,21240,,1,1,WD
purple,00012,01201,PP16,13:20:19,PP01,13:55:34,21240,,1,1,WD
purple,00012,00101,PP16,13:29:49,PP01,14:05:04,21240,,1,1,WD
purple,00012,00301,PP16,13:39:19,PP01,14:14:34,21240,,1,1,WD
purple,00012,00501,PP16,13:48:49,PP01,14:24:04,21240,,1,1,WD
purple,00012,00601,PP16,13:58:19,PP01,14:33:34,21240,,1,1,WD
purple,00012,00801,PP16,14:07:49,PP01,14:43:04,21240,,1,1,WD
purple,00012,00901,PP16,14:17:19,PP01,14:52:34,21240,,1,1,WD
purple,00012,01001,PP16,14:26:49,PP01,15:02:04,21240,,1,1,WD
purple,00012,01201,PP16,14:36:19,PP01,15:11:34,21240,,1,1,WD
purple,00012,00101,PP16,14:45:49,PP01,15:21:04,21240,,1,1,WD
purple,00012,00301,PP16,14:55:19,PP01,15:30:34,21240,,1,1,WD
purple,00012,00501,PP16,15:04:49,PP01,15:40:04,21240,,1,1,WD
purple,00012,00601,PP16,15:14:19,PP01,15:49:34,21240,,1,1,WD
purple,00012,00801,PP16,15:23:49,PP01,15:59:04,21240,,1,1,WD
purple,00012,00901,PP16,15:33:19,PP01,16:08:34,21240,,1,1,WD
purple,00012,01001,PP16,15:42:49,PP01,16:18:04,21240,,1,1,WD
purple,00012,01201,PP16,15:52:19,PP01,16:27:34,21240,,1,1,WD
purple,00012,00101,PP16,16:01:49,PP01,16:34:56,21240,,1,1,WD
purple,00012,00301,PP16,16:11:19,PP01,16:46:34,21240,,1,1,WD
purple,00012,00501,PP16,16:20:49,PP01,16:53:56,21240,,1,1,WD
purple,00012,00601,PP16,16:30:19,PP01,17:03:26,21240,,1,1,WD
purple,00012,00801,PP16,16:39:49,PP01,17:15:04,21240,,1,1,WD
purple,00012,00901,PP16,16:49:19,PP01,17:22:26,21240,,1,1,WD
purple,00012,01001,PP16,16:58:49,PP01,17:31:56,21240,,1,1,WD
purple,00012,01218,PP16,17:05:40,PP01,17:39:17,21240,,1,1,WD
purple,00012,01318,PP16,17:12:00,PP01,17:45:37,21240,,1,1,WD
purple,00012,00118,PP16,17:18:00,PP01,17:51:37,21240,,1,1,WD
purple,00012,00318,PP16,17:24:00,PP01,17:57:37,21240,,1,1,WD
purple,00012,01418,PP16,17:30:00,PP01,18:03:37,21240,,1,1,WD
purple,00012,00518,PP16,17:36:00,PP01,18:09:37,21240,,1,1,WD
purple,00012,00618,PP16,17:42:00,PP01,18:15:37,21240,,1,1,WD
purple,00012,01518,PP16,17:48:00,PP01,18:21:37,21240,,1,1,WD
purple,00012,00818,PP16,17:54:00,PP01,18:27:37,21240,,1,1,WD
purple,00012,01618,PP16,18:00:00,PP01,18:33:37,21240,,1,1,WD
purple,00012,00918,PP16,18:04:30,PP01,18:38:07,21240,,1,1,WD
purple,00012,01718,PP16,18:09:00,PP01,18:42:37,21240,,1,1,WD
purple,00012,01018,PP16,18:13:30,PP01,18:47:07,21240,,1,1,WD
purple,00012,01218,PP16,18:18:00,PP01,18:51:37,21240,,1,1,WD
purple,00012,01818,PP16,18:22:30,PP01,18:56:07,21240,,1,1,WD
purple,00012,01318,PP16,18:27:00,PP01,19:00:37,21240,,1,1,WD
purple,00012,00118,PP16,18:31:30,PP01,19:05:07,21240,,1,1,WD
purple,00012,00318,PP16,18:36:00,PP01,19:09:37,21240,,1,1,WD
purple,00012,01918,PP16,18:40:30,PP01,19:14:07,21240,,1,1,WD
purple,00012,01418,PP16,18:45:00,PP01,19:18:37,21240,,1,1,WD
purple,00012,00518,PP16,18:49:30,PP01,19:23:07,21240,,1,1,WD
purple,00012,00617,PP16,18:54:00,PP01,19:27:07,21240,,1,1,WD
purple,00012,00201,PP16,18:58:30,PP01,19:31:37,21240,,1,1,WD
purple,00012,01517,PP16,19:03:00,PP01,19:36:07,21240,,1,1,WD
purple,00012,00801,PP16,19:07:30,PP01,19:40:37,21240,,1,1,WD
purple,00012,01601,PP16,19:12:25,PP01,19:45:32,21240,,1,1,WD
purple,00012,00917,PP16,19:16:30,PP01,19:49:37,21240,,1,1,WD
purple,00012,01701,PP16,19:21:00,PP01,19:54:07,21240,,1,1,WD
purple,00012,01001,PP16,19:25:30,PP01,20:00:45,21240,,1,1,WD
purple,00012,01217,PP16,19:30:00,PP01,20:05:15,21240,,1,1,WD
purple,00012,01801,PP16,19:35:00,PP01,20:08:07,21240,,1,1,WD
purple,00012,01317,PP16,19:39:00,PP01,20:12:07,21240,,1,1,WD
purple,00012,00101,PP16,19:43:30,PP01,20:16:37,21240,,1,1,WD
purple,00012,00301,PP16,19:48:00,PP01,20:21:07,21240,,1,1,WD
purple,00012,01917,PP16,19:52:30,PP01,20:25:37,21240,,1,1,WD
purple,00012,01401,PP16,19:57:00,PP01,20:32:15,21240,,1,1,WD
purple,00012,00501,PP16,20:04:12,PP01,20:39:27,21240,,1,1,WD
purple,00012,02001,PP16,20:11:24,PP01,20:46:39,21240,,1,1,WD
purple,00012,00817,PP16,20:18:36,PP01,20:53:51,21240,,1,1,WD
purple,00012,01601,PP16,20:25:48,PP01,21:01:03,21240,,1,1,WD
purple,00012,01701,PP16,20:32:53,PP01,21:06:00,21240,,1,1,WD
purple,00012,01001,PP16,20:40:12,PP01,21:15:27,21240,,1,1,WD
purple,00012,01817,PP16,20:47:24,PP01,21:22:39,21240,,1,1,WD
purple,00012,00101,PP16,20:54:36,PP01,21:27:43,21240,,1,1,WD
purple,00012,00301,PP16,21:01:48,PP01,21:37:03,21240,,1,1,WD
purple,00012,01401,PP16,21:11:18,PP01,21:46:33,21240,,1,1,WD
purple,00012,00501,PP16,21:20:48,PP01,21:56:03,21240,,1,1,WD
purple,00012,02001,PP16,21:30:18,PP01,22:05:33,21240,,1,1,WD
purple,00012,01601,PP16,21:39:30,PP01,22:14:45,21240,,1,1,WD
purple,00012,01701,PP16,21:49:00,PP01,22:24:15,21240,,1,1,WD
purple,00012,01001,PP16,21:58:30,PP01,22:33:45,21240,,1,1,WD
purple,00012,00101,PP16,22:08:00,PP01,22:43:15,21240,,1,1,WD
purple,00012,00317,PP16,22:17:30,PP01,22:52:45,21240,,1,1,WD
purple,00012,01417,PP16,22:27:00,PP01,23:02:15,21240,,1,1,WD
purple,00012,00517,PP16,22:36:30,PP01,23:11:45,21240,,1,1,WD
purple,00012,02017,PP16,22:46:00,PP01,23:21:15,21240,,1,1,WD
purple,00012,01617,PP16,22:55:30,PP01,23:30:45,21240,,1,1,WD
purple,00012,01717,PP16,23:05:00,PP01,23:40:15,21240,,1,1,WD
purple,00012,01017,PP16,23:14:30,PP01,23:49:45,21240,,1,1,WD
purple,00012,00117,PP16,23:24:00,PP01,23:59:15,21240,,1,1,WD
purple,00011,00116,PP01,05:13:43,PP16,06:16:30,21240,,0,1,WE
purple,00011,00216,PP01,05:23:13,PP16,06:26:00,21240,,0,1,WE
purple,00011,00316,PP01,06:00:00,PP16,06:35:18,21240,,0,1,WE
purple,00011,00416,PP01,06:09:30,PP16,06:44:48,21240,,0,1,WE
purple,00011,00516,PP01,06:19:00,PP16,06:54:18,21240,,0,1,WE
purple,00011,00616,PP01,06:28:30,PP16,07:03:48,21240,,0,1,WE
purple,00011,00716,PP01,06:38:00,PP16,07:13:18,21240,,0,1,WE
purple,00011,00816,PP01,06:47:30,PP16,07:22:48,21240,,0,1,WE
purple,00011,00116,PP01,06:57:00,PP16,07:32:18,21240,,0,1,WE
purple,00011,00216,PP01,07:06:30,PP16,07:41:48,21240,,0,1,WE
purple,00011,00316,PP01,07:16:00,PP16,07:51:18,21240,,0,1,WE
purple,00011,00416,PP01,07:25:30,PP16,08:00:48,21240,,0,1,WE
purple,00011,00516,PP01,07:35:00,PP16,08:10:18,21240,,0,1,WE
purple,00011,00616,PP01,07:44:30,PP16,08:19:48,21240,,0,1,WE
purple,00011,00716,PP01,07:54:00,PP16,08:29:18,21240,,0,1,WE
purple,00011,00816,PP01,08:03:30,PP16,08:38:48,21240,,0,1,WE
purple,00011,00116,PP01,08:13:00,PP16,08:48:18,21240,,0,1,WE
purple,00011,00216,PP01,08:22:30,PP16,08:57:48,21240,,0,1,WE
purple,00011,00316,PP01,08:32:00,PP16,09:07:18,21240,,0,1,WE
purple,00011,00416,PP01,08:41:30,PP16,09:16:48,21240,,0,1,WE
purple,00011,00516,PP01,08:51:00,PP16,09:26:18,21240,,0,1,WE
purple,00011,00616,PP01,09:00:30,PP16,09:35:48,21240,,0,1,WE
purple,00011,00716,PP01,09:10:00,PP16,09:45:18,21240,,0,1,WE
purple,00011,00816,PP01,09:19:30,PP16,09:54:48,21240,,0,1,WE
purple,00011,00116,PP01,09:29:00,PP16,10:04:18,21240,,0,1,WE
purple,00011,00216,PP01,09:38:30,PP16,10:13:48,21240,,0,1,WE
purple,00011,00316,PP01,09:48:00,PP16,10:23:18,21240,,0,1,WE
purple,00011,00416,PP01,09:57:30,PP16,10:32:48,21240,,0,1,WE
purple,00011,00516,PP01,10:07:00,PP16,10:42:18,21240,,0,1,WE
purple,00011,00616,PP01,10:16:30,PP16,10:51:48,21240,,0,1,WE
purple,00011,00716,PP01,10:26:00,PP16,11:01:18,21240,,0,1,WE
purple,00011,00816,PP01,10:35:30,PP16,11:10:48,21240,,0,1,WE
purple,00011,00116,PP01,10:45:00,PP16,11:20:18,21240,,0,1,WE
purple,00011,00216,PP01,10:54:30,PP16,11:29:48,21240,,0,1,WE
purple,00011,00316,PP01,11:04:00,PP16,11:39:18,21240,,0,1,WE
purple,00011,00416,PP01,11:13:30,PP16,11:48:48,21240,,0,1,WE
purple,00011,00516,PP01,11:23:00,PP16,11:58:18,21240,,0,1,WE
purple,00011,00616,PP01,11:32:30,PP16,12:07:48,21240,,0,1,WE
