trip_id,start_time,end_time,headway_secs,exact_times
00716,13:25:11,14:02:12,570,
00816,13:34:41,14:11:42,570,
01016,13:44:11,14:21:12,570,
01116,13:53:41,14:30:42,570,
00116,14:03:11,14:40:12,570,
00316,14:12:41,14:49:42,570,
00416,14:22:11,14:59:12,570,
00616,14:31:41,15:08:42,570,
00716,14:41:11,15:18:12,570,
00816,14:50:41,15:27:42,570,
01016,15:00:11,15:37:12,570,
01116,15:09:41,15:46:42,570,
00116,15:19:11,15:56:12,570,
00316,15:28:41,16:05:42,570,
00416,15:38:11,16:15:12,570,
00616,15:47:41,16:24:42,570,
00716,15:57:11,16:34:12,570,
00816,16:06:41,16:43:42,570,
01016,16:16:11,16:53:12,570,
01116,16:23:50,16:58:48,570,
01301,16:22:00,16:31:30,570,
01316,16:31:30,17:04:48,570,
00116,16:35:50,17:10:48,570,
00316,16:42:20,17:17:18,570,
01401,16:40:00,16:49:30,570,
01416,16:49:30,17:22:48,570,
00416,16:54:11,17:29:09,570,
01501,16:52:00,17:01:30,570,
01516,17:01:30,17:34:48,360,
00616,17:03:47,17:40:48,360,
00716,17:11:50,17:46:48,360,
01601,17:10:00,17:19:30,360,
01616,17:19:30,17:52:48,360,
00816,17:23:50,17:58:48,360,
01016,17:29:50,18:04:48,360,
01116,17:35:50,18:10:48,360,
01316,17:41:50,18:16:48,360,
00116,17:47:50,18:22:48,360,
00316,17:53:50,18:28:48,360,
01416,17:59:50,18:34:48,360,
00416,18:05:50,18:40:48,360,
01516,18:11:50,18:46:48,360,
00616,18:17:50,18:52:48,360,
00716,18:23:50,18:58:48,360,
01616,18:29:50,19:04:48,360,
00816,18:35:50,19:10:48,360,
01016,18:41:50,19:16:48,360,
01116,18:47:50,19:22:48,360,
01316,18:53:50,19:28:48,360,
00116,18:59:50,19:34:48,360,
00316,19:05:50,19:40:48,360,
01416,19:11:50,19:46:48,360,
00416,19:17:41,19:54:42,360,
01516,19:26:11,20:01:09,360,
00716,19:35:41,20:10:39,570,
01616,19:44:41,20:19:39,570,
01016,19:54:20,20:29:18,570,
01116,20:03:41,20:40:42,570,
00116,20:13:11,20:50:12,570,
00316,20:22:47,20:59:48,570,
00416,20:32:17,21:09:18,570,
01516,20:41:47,21:18:48,570,
00716,20:51:17,21:28:18,570,
01616,21:00:47,21:37:48,570,
01016,21:10:17,21:47:18,570,
01116,21:19:47,21:56:48,570,
00116,21:29:17,22:06:18,570,
00316,21:38:47,22:15:48,570,
00416,21:48:17,22:25:18,570,
01516,21:57:47,22:34:48,570,
00716,22:07:17,22:44:18,570,
01616,22:16:47,22:53:48,570,
01016,22:26:17,23:03:18,570,
01116,22:35:47,23:12:48,570,
00116,22:45:17,23:22:18,570,
00118,6:00:00,6:33:37,570,
00218,6:04:34,6:40:05,570,
00318,6:11:24,6:46:05,570,
00418,6:17:24,6:52:05,570,
00518,6:23:09,6:58:05,570,
00618,6:29:24,7:04:05,570,
00718,6:35:24,7:10:05,360,
00818,6:41:24,7:16:05,360,
00918,6:47:24,7:22:05,360,
01018,6:53:24,7:28:05,360,
01118,6:59:24,7:34:05,360,
01218,7:05:24,7:40:05,360,
00118,7:11:24,7:46:05,360,
00218,7:17:24,7:52:05,360,
00318,7:23:24,7:58:05,360,
00418,7:29:24,8:04:05,360,
00518,7:35:24,8:10:05,360,
00618,7:41:24,8:16:05,360,
00718,7:47:24,8:24:26,360,
00818,7:53:24,8:30:26,360,
00901,7:59:24,8:33:01,360,
009#,8:33:31,8:42:31,360,
01018,8:05:15,8:39:56,360,
01118,8:12:24,8:49:26,360,
01201,8:17:24,8:53:09,360,
012#,8:53:39,9:02:39,360,
00118,8:24:15,8:58:56,360,
00201,8:29:24,9:05:09,360,
002#,9:05:39,9:14:39,360,
00318,8:35:48,9:10:29,570,
00418,8:40:54,9:17:56,570,
00501,8:47:24,9:23:09,570,
005#,9:23:39,9:32:39,570,
00618,8:54:48,9:29:29,570,
00718,9:02:15,9:36:56,570,
00818,9:09:24,9:46:26,570,
01018,9:18:54,9:55:56,570,
01118,9:28:24,10:05:26,570,
00118,9:37:54,10:14:56,570,
00318,9:47:24,10:24:26,570,
00418,9:56:54,10:33:56,570,
00618,10:06:24,10:43:26,570,
00718,10:15:54,10:52:56,570,
00818,10:25:24,11:02:26,570,
01018,10:34:54,11:11:56,570,
01118,10:44:24,11:21:26,570,
00118,10:53:54,11:30:56,570,
00318,11:03:24,11:40:26,570,
00418,11:12:54,11:49:56,570,
00618,11:22:24,11:59:26,570,
00718,11:31:54,12:08:56,570,
00818,11:41:24,12:18:26,570,
01018,11:50:54,12:27:56,570,
01118,12:00:24,12:37:26,570,
00118,12:09:54,12:46:56,570,
00318,12:19:24,12:56:26,570,
00418,12:28:54,13:05:56,570,
00618,12:38:24,13:15:26,570,
00718,12:47:54,13:24:56,570,
00818,12:57:24,13:34:26,570,
01018,13:06:54,13:43:56,570,
01118,13:16:24,13:53:26,570,
00118,13:25:54,14:02:56,570,
00318,13:35:24,14:12:26,570,
00418,13:44:54,14:21:56,570,
00618,13:54:24,14:31:26,570,
00718,14:03:54,14:40:56,570,
00818,14:13:24,14:50:26,570,
01018,14:22:54,14:59:56,570,
01118,14:32:24,15:09:26,570,
00118,14:41:54,15:18:56,570,
00318,14:51:24,15:28:26,570,
00418,15:00:54,15:37:56,570,
00618,15:10:24,15:47:26,570,
00718,15:19:54,15:56:56,570,
00818,15:29:24,16:06:26,570,
01018,15:38:54,16:15:56,570,
01118,15:48:54,16:23:35,570,
00118,15:58:33,16:35:35,570,
00318,16:07:24,16:42:05,570,
00418,16:16:54,16:53:56,570,
00618,16:26:30,17:03:32,570,
00718,16:36:54,17:11:35,570,
00818,16:46:33,17:23:35,570,
01018,16:54:54,17:29:35,570,
01118,17:00:54,17:35:35,360,
01318,17:06:54,17:41:35,360,
00118,17:12:54,17:47:35,360,
00318,17:18:54,17:53:35,360,
01418,17:24:54,17:59:35,360,
00418,17:30:54,18:05:35,360,
01518,17:36:54,18:11:35,360,
00618,17:42:54,18:17:35,360,
00718,17:48:54,18:23:35,360,
01618,17:54:54,18:29:35,360,
00818,18:00:54,18:35:35,360,
01018,18:06:54,18:41:35,360,
01118,18:12:54,18:47:35,360,
01318,18:18:54,18:53:35,360,
00118,18:24:54,18:59:35,360,
00318,18:30:54,19:05:35,360,
01418,18:36:54,19:11:35,360,
00418,18:42:54,19:17:35,360,
01518,18:48:54,19:25:56,360,
00601,18:54:54,19:28:31,360,
006#,19:29:01,19:38:01,360,
00718,19:00:54,19:35:35,360,
01618,19:07:24,19:44:26,360,
00801,19:12:54,19:48:39,360,
008#,19:49:09,19:58:09,570,
01018,19:19:24,19:54:05,570,
01118,19:26:24,20:03:26,570,
01301,19:31:28,20:07:13,570,
013#,20:07:43,20:16:43,570,
00118,19:38:15,20:12:56,570,
00318,19:45:30,20:22:32,570,
01401,19:51:21,20:24:58,570,
014#,20:25:28,20:34:28,570,
00418,19:57:21,20:32:02,570,
01518,20:04:30,20:41:32,570,
00718,20:14:00,20:51:02,570,
01618,20:23:30,21:00:32,570,
01018,20:33:00,21:10:02,570,
01118,20:42:30,21:19:32,570,
00118,20:52:00,21:29:02,570,
00318,21:01:30,21:38:32,570,
00418,21:11:00,21:48:02,570,
01518,21:20:30,21:57:32,570,
00718,21:30:00,22:07:02,570,
01618,21:39:30,22:16:32,570,
01018,21:49:00,22:26:02,570,
01118,21:58:30,22:35:32,570,
00118,22:08:00,22:45:02,570,
00301,22:17:30,22:53:15,570,
003#,22:53:15,23:02:15,570,
00401,22:27:00,23:02:45,570,
004#,23:02:45,23:11:45,570,
01501,22:36:30,23:12:15,570,
015#,23:12:15,23:21:15,570,
00701,22:46:00,23:21:45,570,
007#,23:21:45,23:30:45,570,
01601,22:55:30,23:31:15,570,
016#,23:31:15,23:40:15,570,
01001,23:05:00,23:40:45,570,
010#,23:40:45,23:49:45,570,
01101,23:14:30,23:50:15,570,
011#,23:50:15,23:59:15,570,
00101,23:24:00,23:59:45,570,
001#,23:59:45,0:08:45,570,
00101,5:04:13,5:13:43,570,
00116,5:13:43,6:16:30,570,
00201,5:13:43,5:23:13,570,
00216,5:23:13,6:26:00,570,
00301,5:50:30,6:00:00,570,
00316,6:00:00,6:35:18,570,
00401,6:00:00,6:09:30,570,
00416,6:09:30,6:44:48,570,
00501,6:09:30,6:19:00,570,
00516,6:19:00,6:54:18,570,
00601,6:19:00,6:28:30,570,
00616,6:28:30,7:03:48,570,
00701,6:28:30,6:38:00,570,
00716,6:38:00,7:13:18,570,
00801,6:38:00,6:47:30,570,
00816,6:47:30,7:22:48,570,
00116,6:55:17,7:32:18,570,
00216,7:04:47,7:41:48,570,
00316,7:14:17,7:51:18,570,
00416,7:23:47,8:00:48,570,
00516,7:33:17,8:10:18,570,
00616,7:42:47,8:19:48,570,
00716,7:52:17,8:29:18,570,
00816,8:01:47,8:38:48,570,
00116,8:11:17,8:48:18,570,
00216,8:20:47,8:57:48,570,
00316,8:30:17,9:07:18,570,
00416,8:39:47,9:16:48,570,
00516,8:49:17,9:26:18,570,
00616,8:58:47,9:35:48,570,
00716,9:08:17,9:45:18,570,
00816,9:17:47,9:54:48,570,
00116,9:27:17,10:04:18,570,
00216,9:36:47,10:13:48,570,
00316,9:46:17,10:23:18,570,
00416,9:55:47,10:32:48,570,
00516,10:05:17,10:42:18,570,
00616,10:14:47,10:51:48,570,
00716,10:24:17,11:01:18,570,
00816,10:33:47,11:10:48,570,
00116,10:43:17,11:20:18,570,
00216,10:52:47,11:29:48,570,
00316,11:02:17,11:39:18,570,
00416,11:11:47,11:48:48,570,
00516,11:21:17,11:58:18,570,
00616,11:30:47,12:07:48,570,
00716,11:40:17,12:17:18,570,
00816,11:49:47,12:26:48,570,
00116,11:59:17,12:36:18,570,
00216,12:08:47,12:45:48,570,
00316,12:18:17,12:55:18,570,
00416,12:27:47,13:04:48,570,
00516,12:37:17,13:14:18,570,
00616,12:46:47,13:23:48,570,
00716,12:56:17,13:33:18,570,
00816,13:05:47,13:42:48,570,
00116,13:15:17,13:52:18,570,
00216,13:24:47,14:01:48,570,
00316,13:34:17,14:11:18,570,
00416,13:43:47,14:20:48,570,
00516,13:53:17,14:30:18,570,
00616,14:02:47,14:39:48,570,
00716,14:12:17,14:49:18,570,
00816,14:21:47,14:58:48,570,
00116,14:31:17,15:08:18,570,
00216,14:40:47,15:17:48,570,
00316,14:50:17,15:27:18,570,
00416,14:59:47,15:36:48,570,
00516,15:09:17,15:46:18,570,
00616,15:18:47,15:55:48,570,
00716,15:28:17,16:05:18,570,
00816,15:37:47,16:14:48,570,
00116,15:47:17,16:24:18,570,
00216,15:56:47,16:33:48,570,
00316,16:06:17,16:43:18,570,
00416,16:15:47,16:52:48,570,
00516,16:25:17,17:02:18,570,
00616,16:34:47,17:11:48,570,
00716,16:44:17,17:21:18,570,
00816,16:53:47,17:30:48,570,
00116,17:03:17,17:40:18,570,
00216,17:12:47,17:49:48,570,
00316,17:22:17,17:59:18,570,
00416,17:31:47,18:08:48,570,
00516,17:41:17,18:18:18,570,
00616,17:50:47,18:27:48,570,
00716,18:00:17,18:37:18,570,
00816,18:09:47,18:46:48,570,
00116,18:19:17,18:56:18,570,
00216,18:28:47,19:05:48,570,
00316,18:38:17,19:15:18,570,
00416,18:47:47,19:24:48,570,
00516,18:57:17,19:34:18,570,
00616,19:06:47,19:43:48,570,
00716,19:16:17,19:53:18,570,
00816,19:25:47,20:02:48,570,
00116,19:35:17,20:12:18,570,
00216,19:44:47,20:21:48,570,
00316,19:54:17,20:31:18,570,
00416,20:03:47,20:40:48,570,
00516,20:13:17,20:50:18,570,
00616,20:22:47,20:59:48,570,
00716,20:32:17,21:09:18,570,
00816,20:41:47,21:18:48,570,
00116,20:51:17,21:28:18,570,
00216,21:00:47,21:37:48,570,
00316,21:10:17,21:47:18,570,
00416,21:19:47,21:56:48,570,
00516,21:29:17,22:06:18,570,
00616,21:38:47,22:15:48,570,
00716,21:48:17,22:25:18,570,
00816,21:57:47,22:34:48,570,
00116,22:07:17,22:44:18,570,
00216,22:16:47,22:53:48,570,
00316,22:26:17,23:03:18,570,
00416,22:35:47,23:12:48,570,
00516,22:45:17,23:22:18,570,
00118,6:18:03,6:55:05,570,
00218,6:27:33,7:04:35,570,
00318,6:37:03,7:14:05,570,
00418,6:46:33,7:23:35,570,
00518,6:56:03,7:33:05,570,
00618,7:05:33,7:42:35,570,
00718,7:15:03,7:52:05,570,
00818,7:24:33,8:01:35,570,
00118,7:34:03,8:11:05,570,
00218,7:43:33,8:20:35,570,
00318,7:53:03,8:30:05,570,
00418,8:02:33,8:39:35,570,
00518,8:12:03,8:49:05,570,
00618,8:21:33,8:58:35,570,
00718,8:31:03,9:08:05,570,
00818,8:40:33,9:17:35,570,
00118,8:50:03,9:27:05,570,
00218,8:59:33,9:36:35,570,
00318,9:09:03,9:46:05,570,
00418,9:18:33,9:55:35,570,
00518,9:28:03,10:05:05,570,
00618,9:37:33,10:14:35,570,
00718,9:47:03,10:24:05,570,
00818,9:56:33,10:33:35,570,
00118,10:06:03,10:43:05,570,
00218,10:15:33,10:52:35,570,
00318,10:25:03,11:02:05,570,
00418,10:34:33,11:11:35,570,
00518,10:44:03,11:21:05,570,
00618,10:53:33,11:30:35,570,
